SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-15-2020,Single Family Residential,3948 Mintwood St,Lawrenceville,PA,15224,259900,5,1,Lawrenceville,2749,,1900,,95,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3948-Mintwood-St-15224/home/73529383,West Penn MLS,1439366,N,Y,40.4640754,-79.9579663
PAST SALE,January-8-2021,Single Family Residential,4317 Bristol St,Greenfield,PA,15207,157900,4,1.5,Greenfield,1309,,1930,,121,,Sold,,,https://www.redfin.com/PA/Pittsburgh/4317-Bristol-St-15207/home/73531184,West Penn MLS,1470609,N,Y,40.4200373,-79.9449881
PAST SALE,November-27-2020,Condo/Co-op,5 Bayard Rd #705,Shadyside,PA,15213,152000,1,1,Shadyside,,,1969,,,441,Sold,,,https://www.redfin.com/PA/Pittsburgh/5-Bayard-Rd-15213/unit-705/home/73554374,West Penn MLS,1465728,N,Y,40.4526045,-79.9428352
PAST SALE,September-18-2020,Single Family Residential,5828 Howe,Shadyside,PA,15232,515000,3,3.5,Shadyside,,,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5828-Howe-St-15232/home/73557513,West Penn MLS,1457388,N,Y,40.4522995,-79.926822
PAST SALE,July-29-2020,Townhouse,736 Summerlea,Shadyside,PA,15232,375000,2,2.5,Shadyside,864,,1980,,434,,Sold,,,https://www.redfin.com/PA/Pittsburgh/736-Summerlea-St-15232/home/73557497,West Penn MLS,1450214,N,Y,40.4524691,-79.9303867
PAST SALE,,Single Family Residential,979 Millerdale St,Pittsburgh,PA,15201,174264,2,1,,1004,6206,1958,,174,,,,,https://www.redfin.com/PA/Pittsburgh/979-Millerdale-St-15201/home/73557574,,,N,Y,40.4776798,-79.9379609
PAST SALE,January-4-2021,Single Family Residential,1954 Lowrie,Troy Hill,PA,15212,114000,2,2,Troy Hill,,,1950,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/1954-Lowrie-St-15212/home/73578598,West Penn MLS,1477922,N,Y,40.4672982,-79.9803665
PAST SALE,July-17-2020,Single Family Residential,412 44th St,Lawrenceville,PA,15201,365000,2,1.5,Lawrenceville,1340,,1880,,272,,Sold,,,https://www.redfin.com/PA/Pittsburgh/412-44th-St-15201/home/73578835,West Penn MLS,1445439,N,Y,40.467941,-79.95526
PAST SALE,May-15-2019,Single Family Residential,5058 Rosecrest Pl,Stanton Heights,PA,15201,395000,4,2.5,Stanton Heights,1968,,1950,,201,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5058-Rosecrest-Pl-15201/home/73582785,West Penn MLS,1386174,N,Y,40.4774816,-79.9352505
PAST SALE,August-20-2020,Single Family Residential,162 S 17th St,South Side,PA,15203,344900,3,2.5,South Side,2200,,1902,,157,,Sold,,,https://www.redfin.com/PA/Pittsburgh/162-S-17th-St-15203/home/74478789,West Penn MLS,1440959,N,Y,40.426518,-79.9823983
